timestamp,amplitude,mean,std,z,behavior
1774901022.7385395,457.0,160.7,97.15,3.05,INACTIVE
1774901022.7616906,543.0,160.7,97.85,3.91,INACTIVE
1774901022.7629473,630.0,160.7,98.92,4.74,INACTIVE
1774901022.763807,651.0,160.7,100.08,4.9,INACTIVE
1774901022.7645197,620.0,160.7,101.08,4.54,INACTIVE
1774901022.7688525,542.0,160.7,101.74,3.75,INACTIVE
1774901022.7844927,472.0,160.7,102.17,3.05,INACTIVE
1774901022.8005383,372.0,160.7,102.33,2.06,INACTIVE
1774901022.8169107,298.0,160.7,102.37,1.34,INACTIVE
1774901022.8326354,260.0,160.8,102.37,0.97,INACTIVE
1774901022.8485813,288.0,160.8,102.4,1.24,INACTIVE
1774901022.8645194,412.0,160.8,102.66,2.45,INACTIVE
1774901022.880402,567.0,160.8,103.41,3.93,INACTIVE
1774901022.896456,762.0,160.8,105.09,5.72,INACTIVE
1774901022.912564,841.0,160.8,107.21,6.34,INACTIVE
1774901022.9287496,848.0,160.8,109.34,6.28,INACTIVE
1774901022.9446192,711.0,160.8,110.66,4.97,INACTIVE
1774901022.9606287,532.0,160.8,111.23,3.34,INACTIVE
1774901022.976488,335.0,160.8,111.31,1.57,INACTIVE
1774901022.9925985,239.0,160.87,111.28,0.7,INACTIVE
1774901023.008564,156.0,160.87,111.23,-0.04,INACTIVE
1774901023.024992,154.0,160.86,111.17,-0.06,INACTIVE
1774901023.0407693,230.0,160.93,111.14,0.62,INACTIVE
1774901023.056703,401.0,160.93,111.34,2.16,INACTIVE
1774901023.0727575,582.0,160.93,112.08,3.76,INACTIVE
1774901023.0888848,709.0,160.93,113.36,4.83,INACTIVE
1774901023.1045282,775.0,160.93,114.95,5.34,INACTIVE
1774901023.1208146,730.0,160.93,116.29,4.89,INACTIVE
1774901023.1373193,567.0,160.93,116.94,3.47,INACTIVE
1774901023.1528006,403.0,160.93,117.14,2.07,INACTIVE
1774901023.168841,274.0,161.04,117.13,0.96,INACTIVE
1774901023.184476,191.0,161.07,117.08,0.26,INACTIVE
1774901023.2008195,144.0,161.06,117.02,-0.15,INACTIVE
1774901023.2164588,115.0,161.01,116.97,-0.39,INACTIVE
1774901023.2325232,95.0,160.95,116.93,-0.56,INACTIVE
1774901023.2484422,93.0,160.88,116.89,-0.58,INACTIVE
1774901023.2644248,86.0,160.8,116.86,-0.64,INACTIVE
1774901023.2805376,90.0,160.73,116.82,-0.61,INACTIVE
1774901023.2968473,92.0,160.66,116.78,-0.59,INACTIVE
1774901023.3127332,90.0,160.59,116.74,-0.6,INACTIVE
1774901023.3288307,88.0,160.52,116.71,-0.62,INACTIVE
1774901023.3446012,92.0,160.45,116.67,-0.59,INACTIVE
1774901023.3610268,93.0,160.38,116.63,-0.58,INACTIVE
