timestamp,amplitude,mean,std,z,behavior,transition,personalInsight,prediction,contextInsight,action
1775534521.7202554,120.0,126.14,34.26,-0.18,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.735632,116.0,126.13,34.25,-0.3,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.75177,110.0,126.12,34.23,-0.47,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.767691,113.0,126.1,34.22,-0.38,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.7832363,108.0,126.09,34.21,-0.53,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.7996764,115.0,126.07,34.19,-0.32,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.815418,120.0,126.07,34.17,-0.18,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.8316412,121.0,126.06,34.16,-0.15,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.84751,121.0,126.06,34.14,-0.15,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.8633192,122.0,126.05,34.12,-0.12,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.8792799,116.0,126.04,34.11,-0.29,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.895566,111.0,126.03,34.09,-0.44,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.9113564,114.0,126.02,34.08,-0.35,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.9274626,116.0,126.01,34.06,-0.29,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.9438355,115.0,126.0,34.05,-0.32,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.959463,117.0,125.99,34.03,-0.26,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.9757574,115.0,125.98,34.02,-0.32,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
1775534521.9915857,108.0,125.96,34.01,-0.53,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,MAINTAIN_FLOW
