timestamp,smoothAmp,mean,std,z,behavior,transition,insight,prediction,context,action
1775710984.7091823,72,103.05,139.11,-0.22,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.7248085,68,103.02,139.04,-0.25,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.7408397,140,103.05,138.98,0.27,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.7569034,190,103.14,138.94,0.63,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.7728064,225,103.26,138.92,0.88,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.7888792,242,103.40,138.92,1.00,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.804508,260,103.40,138.94,1.13,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.8206496,194,103.49,138.90,0.65,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.8370125,145,103.53,138.84,0.30,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.8526585,113,103.54,138.77,0.07,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.8686454,108,103.55,138.70,0.03,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.8850613,103,103.55,138.63,-0.00,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.9008827,105,103.55,138.56,0.01,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.9169688,106,103.55,138.49,0.02,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.9329133,104,103.55,138.42,0.00,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.9489815,98,103.54,138.35,-0.04,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.9648964,93,103.53,138.28,-0.08,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.9805977,92,103.52,138.21,-0.08,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710984.9970233,89,103.51,138.15,-0.11,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.0128558,79,103.48,138.08,-0.18,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.0291414,72,103.45,138.01,-0.23,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.0448217,67,103.41,137.95,-0.26,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.0612302,59,103.37,137.89,-0.32,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.0768266,52,103.32,137.83,-0.37,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.092591,47,103.26,137.77,-0.41,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.1085253,43,103.20,137.72,-0.44,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.1251054,42,103.14,137.66,-0.44,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
1775710985.1410458,37,103.08,137.61,-0.48,INACTIVE,NONE,NORMAL,LIKELY_INACTIVE,NORMAL,NONE
